masp;admissao;nome_servidor;cpf;dt_nasc;situacao_funcional;sigla;setor;carreira;categoria_profissional;nivel;grau;dt_admissao;data_inicio;data_fim_prevista
15289390;1;Diogo Gomes;04482546691;22/04/1987;CONTRATO TEMPORARIO;HEM;COORDENACAO DAS UNIDADES CRITICAS;PENF;TECNICO DE ENFERMAGEM;II;A;03/07/2022;03/07/2022 00:00;02/07/2023 00:00
11553542;4;Breno Barbosa;04482546692;23/04/1987;CONTRATO TEMPORARIO;HEM;COORDENACAO DAS UNIDADES CRITICAS;PENF;TECNICO DE ENFERMAGEM;II;A;01/07/2022;01/07/2022 00:00;30/06/2023 00:00
15180953;1;Alex Almeida;04482546693;24/04/1987;CONTRATO TEMPORARIO;HEM;COORDENACAO DAS UNIDADES DE INTERNACAO;AGAS;NUTRICIONISTA;I;A;07/03/2022;04/03/2022 00:00;03/03/2023 00:00
15072499;1;Douglas Rodrigues;04482546694;25/04/1987;CONTRATO TEMPORARIO;HMAL;COORDENACAO DAS UNIDADES DE INTERNACAO CIRURGICA DE RETAGUARDA;PENF;TECNICO DE ENFERMAGEM;II;A;03/02/2022;03/02/2022 00:00;02/02/2023 00:00
15189210;1;Leonor Goncalves;04482546695;26/04/1987;CONTRATO TEMPORARIO;JXXIII;NA;MEDRE;MEDICO;I;A;NA;01/03/2022 00:00;28/02/2023 00:00
14137947;4;Júlia Cardoso;04482546696;27/04/1987;CONTRATO TEMPORARIO;JXXIII;COORDENACAO DE URGENCIA E EMERGENCIA ADULTO;MED;MEDICO ORTOPEDISTA E TRAUMATOLOGISTA;III;A;03/03/2022;08/03/2022 00:00;07/03/2023 00:00
14354922;2;Martim Alves;04482546697;28/04/1987;CONTRATO TEMPORARIO;JXXIII;COORDENACAO DA UNIDADE DE TERAPIA INTENSIVA ADULTO;AGAS;FISIOTERAPEUTA RESPIRATORIA;III;A;01/02/2022;01/02/2022 00:00;31/01/2023 00:00
14952154;1;Sophia Cunha;04482546698;29/04/1987;CONTRATO TEMPORARIO;JXXIII;NA;MEDRE;MEDICO;I;A;NA;01/03/2021 00:00;28/02/2023 00:00
14555908;1;Pedro Sousa;04482546699;30/04/1987;CONTRATO TEMPORARIO;AJUR;(DESAT.)NUCLEO DE CONTENCIOSO;AGAS;ADVOGADO;I;A;31/03/2021;31/03/2021 00:00;30/03/2023 00:00
15072424;1;Kauã Fernandes;04482546700;01/05/1987;CONTRATO TEMPORARIO;JXXIII;COORDENACAO DE DIAGNOSTICO POR IMAGEM;TOS;TECNICO EM RADIOLOGIA;II;A;01/02/2022;01/02/2022 00:00;31/01/2023 00:00
12414025;1;Marina Ribeiro;04482546701;02/05/1987;CONTRATO TEMPORARIO;HGB-JA;COORDENACAO DE APOIO DIAGNOSTICO E TERAPEUTICO;TOS;TECNICO EM RADIOLOGIA;II;A;02/06/2022;02/06/2022 00:00;01/06/2023 00:00
14512479;2;Júlia Melo;04482546702;03/05/1987;CONTRATO TEMPORARIO;CMT;NA;PENF;TECNICO DE ENFERMAGEM;II;A;NA;09/11/2022 00:00;08/11/2023 00:00
14612832;5;Mariana Carvalho;04482546703;04/05/1987;CONTRATO TEMPORARIO;HEM;COORDENACAO DAS UNIDADES CRITICAS;MED;MEDICO INFECTOLOGISTA;III;A;01/02/2022;01/02/2022 00:00;31/01/2023 00:00
14612832;4;Diogo Pinto;04482546704;05/05/1987;CONTRATO TEMPORARIO;HEM;NA;MED;MEDICO INFECTOLOGISTA;III;A;NA;04/11/2021 00:00;30/06/2023 00:00
11648870;5;Camila Fernandes;04482546705;06/05/1987;CONTRATO TEMPORARIO;HJK;COORDENACAO DA EQUIPE MULTIDISCIPLINAR;AGAS;FISIOTERAPEUTA RESPIRATORIA;III;A;01/04/2022;01/04/2022 00:00;31/03/2023 00:00
12017299;3;Kauan Sousa;04482546706;07/05/1987;CONTRATO TEMPORARIO;HGB-JA;COORDENACAO DE SAUDE MENTAL;PENF;TECNICO DE ENFERMAGEM;II;A;02/02/2022;02/02/2022 00:00;01/02/2023 00:00
13111174;2;Lara Melo;04482546707;08/05/1987;CONTRATO TEMPORARIO;HRJP;COORDENACAO DE ASSISTENCIA FARMACEUTICA;TOS;TECNICO EM FARMACIA;II;A;01/02/2022;01/02/2022 00:00;31/01/2023 00:00
10915619;5;Davi Cardoso;04482546708;09/05/1987;CONTRATO TEMPORARIO;HAC;COORDENACAO DO SERVICO DE DIAGNOSTICO POR IMAGEM;MED;MEDICO CARDIOLOGISTA;III;A;10/02/2022;08/02/2022 00:00;07/02/2023 00:00
10915619;3;Kai Gomes;04482546709;10/05/1987;CONTRATO TEMPORARIO;HJK;COORDENACAO DO SERVICO DE DIAGNOSTICO POR IMAGEM;MED;MEDICO CARDIOLOGISTA;III;A;04/02/2022;04/02/2022 00:00;03/02/2023 00:00
14916381;2;Melissa Cavalcanti;04482546710;11/05/1987;CONTRATO TEMPORARIO;HJK;COORDENACAO DE INTERNACAO - ADULTO;PENF;TECNICO DE ENFERMAGEM;II;A;05/07/2022;05/07/2022 00:00;04/07/2023 00:00
15062771;1;Marina Cavalcanti;04482546711;12/05/1987;CONTRATO TEMPORARIO;JXXIII;COORDENACAO DE REGISTRO E INTERNACAO;TOS;AUXILIAR ADMINISTRATIVO;I;A;07/12/2021;07/12/2021 00:00;30/06/2023 00:00
10475283;5;Yasmin Santos;04482546712;13/05/1987;CONTRATO TEMPORARIO;HRAD;COORDENACAO DA UNIDADE DE PACIENTES EXTERNOS;MED;MEDICO CIRURGIAO GERAL;III;A;0000-00-00;01/02/2022 00:00;31/01/2023 00:00
14666721;1;Isabela Gomes;04482546713;14/05/1987;CONTRATO TEMPORARIO;CSPD;COORDENACAO DA UNIDADE DE CUIDADO AO ADULTO;PENF;TECNICO DE ENFERMAGEM;II;A;31/07/2018;01/02/2022 00:00;31/01/2023 00:00
14937676;2;Isabelle Goncalves;04482546714;15/05/1987;CONTRATO TEMPORARIO;JXXIII;COORDENACAO DE URGENCIA E EMERGENCIA ADULTO;MED;MEDICO GENERALISTA;I;A;01/07/2022;01/07/2022 00:00;27/12/2022 00:00
14937676;1;Lavinia Martins;04482546715;16/05/1987;CONTRATO TEMPORARIO;JXXIII;NA;MEDRE;MEDICO;I;A;NA;01/03/2021 00:00;28/02/2023 00:00
14637391;1;Lara Ferreira;04482546716;17/05/1987;CONTRATO TEMPORARIO;HGB-JA;COORDENACAO DA UNIDADE DE PACIENTES CRITICOS;TOS;AUXILIAR ADMINISTRATIVO;I;A;01/02/2022;01/02/2022 00:00;31/01/2023 00:00
15074107;1;Luana Rocha;04482546717;18/05/1987;CONTRATO TEMPORARIO;MOV;COORDENACAO DA UNIDADE DE NEONATOLOGIA;PENF;ENFERMEIRO;VI;A;02/02/2022;02/02/2022 00:00;01/02/2023 00:00
14900096;2;Rebeca Santos;04482546718;19/05/1987;CONTRATO TEMPORARIO;HRJP;COORDENACAO DAS UNIDADES DE INTERNACAO;PENF;TECNICO DE ENFERMAGEM;II;A;14/09/2022;14/09/2022 00:00;12/03/2023 00:00
14612774;1;Ana Rodrigues;04482546719;20/05/1987;CONTRATO TEMPORARIO;CHPB;COORDENACAO DE SAUDE MENTAL;PENF;TECNICO DE ENFERMAGEM;II;A;08/03/2022;08/03/2022 00:00;07/03/2023 00:00
13642400;2;Ana Melo;04482546720;21/05/1987;CONTRATO TEMPORARIO;HRJP;COORDENACAO DAS UNIDADES DE INTERNACAO;PENF;TECNICO DE ENFERMAGEM;II;A;02/07/2022;02/07/2022 00:00;01/07/2023 00:00
14899876;2;Breno Pinto;04482546721;22/05/1987;CONTRATO TEMPORARIO;HGB-JA;COORDENACAO DA UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;PENF;TECNICO DE ENFERMAGEM;II;A;01/02/2022;01/02/2022 00:00;31/01/2023 00:00
13006028;2;Leonardo Melo;04482546722;23/05/1987;CONTRATO TEMPORARIO;HRAD;COORDENACAO DA UNIDADE DE PACIENTES EXTERNOS;MED;MEDICO GINECOLOGISTA;III;A;0000-00-00;01/02/2022 00:00;31/01/2023 00:00
15070394;1;Vitór Pinto;04482546723;24/05/1987;CONTRATO TEMPORARIO;JXXIII;COORDENACAO DO BLOCO CIRURGICO;PENF;TECNICO DE ENFERMAGEM;II;A;01/02/2022;01/02/2022 00:00;31/01/2023 00:00
15071244;1;Nicolash Costa;04482546724;25/05/1987;CONTRATO TEMPORARIO;HJK;COORDENACAO DE COMPRAS E CONTRATOS;TOS;AUXILIAR ADMINISTRATIVO;I;A;01/02/2022;01/02/2022 00:00;31/01/2023 00:00
13802699;2;Paulo Sousa;04482546725;26/05/1987;CONTRATO TEMPORARIO;HGB-JA;COORDENACAO DA UNIDADE DE URGENCIA E EMERGENCIA;PENF;ENFERMEIRO;IV;A;01/02/2022;01/02/2022 00:00;31/01/2023 00:00
15100050;1;Mateus Melo;04482546726;27/05/1987;CONTRATO TEMPORARIO;HGB-JA;COORDENACAO DA UNIDADE DE URGENCIA E EMERGENCIA;PENF;ENFERMEIRO;IV;A;01/02/2022;01/02/2022 00:00;31/01/2023 00:00
12845970;4;Vinícius Cardoso;04482546727;28/05/1987;CONTRATO TEMPORARIO;HEM;COORDENACAO DE HOTELARIA;TOS;AUXILIAR ADMINISTRATIVO;I;A;06/01/2022;06/01/2022 00:00;05/01/2023 00:00
14888762;3;Caio Goncalves;04482546728;29/05/1987;CONTRATO TEMPORARIO;HJK;COORDENACAO DE INTERNACAO - ADULTO;PENF;ENFERMEIRO;IV;A;01/05/2021;01/05/2021 00:00;30/04/2023 00:00
14956676;2;Kauan Costa;04482546729;30/05/1987;CONTRATO TEMPORARIO;HRJP;COORDENACAO DA MATERNIDADE;PENF;TECNICO DE ENFERMAGEM;II;A;02/07/2022;02/07/2022 00:00;01/07/2023 00:00
13648860;2;Julian Souza;04482546730;31/05/1987;CONTRATO TEMPORARIO;HJK;COORDENACAO DA MATERNIDADE;PENF;TECNICO DE ENFERMAGEM;II;A;08/02/2022;08/02/2022 00:00;07/01/2023 00:00
15067838;1;Lavinia Gomes;04482546731;01/06/1987;CONTRATO TEMPORARIO;CSSI;COORDENACAO DE APOIO DIAGNOSTICO E TERAPEUTICO;TOS;TECNICO EM FARMACIA;II;A;01/02/2022;01/02/2022 00:00;31/01/2023 00:00
15118920;1;Manuela Carvalho;04482546732;02/06/1987;CONTRATO TEMPORARIO;HJK;NA;MEDRE;MEDICO;I;A;NA;01/03/2022 00:00;28/02/2023 00:00
14892731;2;Giovana Sousa;04482546733;03/06/1987;CONTRATO TEMPORARIO;HJK;COORDENACAO DO LABORATORIO;MED;MEDICO CLINICO;III;A;13/06/2022;13/06/2022 00:00;12/06/2023 00:00
