masp;admissao;nome_servidor;cpf;situacao_funcional;carreira
14912935;4;Letícia Costa;4482546734;1;4
14912935;3;Miguel Pereira;4482546735;1;4
14255103;2;Sarah Santos;4482546736;1;4
15287204;1;Eduardo Pereira;4482546737;1;4
14581433;5;Pedro Barros;4482546738;1;4
14581433;4;Kai Rodrigues;4482546739;1;4
13802848;2;Sarah Carvalho;4482546740;1;4
14831127;2;Murilo Barbosa;4482546741;1;4
13194097;2;Yasmin Pereira;4482546742;1;4
14354930;1;Eduarda Goncalves;4482546743;1;4
14963540;1;Julian Martins;4482546744;1;4
14897110;3;Amanda Oliveira;4482546745;1;4
14897110;2;Beatriz Sousa;4482546746;1;4
14580021;2;Marina Fernandes;4482546747;1;4
14901581;2;Rodrigo Araujo;4482546748;1;4
15062797;1;Fábio Martins;4482546749;1;4
14774475;2;Sophia Gomes;4482546750;1;4
15070956;1;Matilde Martins;4482546751;1;4
14722482;2;Rafael Melo;4482546752;1;4
14722482;1;Matilde Castro;4482546753;1;4
14904122;2;Rafael Sousa;4482546754;1;4
14052583;3;André Carvalho;4482546755;1;4
13640107;3;Beatrice Souza;4482546756;1;4
14010326;2;Antônio Barros;4482546757;1;4
14904155;1;Laura Costa;4482546758;1;4
14716138;1;Livia Santos;4482546759;1;4
14759591;2;Vitór Gomes;4482546760;1;4
14637367;3;Leonardo Costa;4482546761;1;4
14755060;4;Clara Gomes;4482546762;1;4
14909337;2;Leila Martins;4482546763;1;4
14755383;4;Julia Lima;4482546764;1;4
14755383;3;Nicolash Ribeiro;4482546765;1;4
14755342;2;Giovana Rodrigues;4482546766;1;4
14130231;3;Igor Sousa;4482546767;1;4
14130231;4;Pedro Cunha;4482546768;1;4
14812846;1;Gustavo Rocha;4482546769;1;4
14812846;2;Victor Sousa;4482546770;1;4
14566913;3;Arthur Almeida;4482546771;1;4
14540314;3;Vitor Pinto;4482546772;1;4
12155057;2;Kauan Melo;4482546773;1;4
13802194;3;Igor Castro;4482546774;1;4
14801534;1;Luís Sousa;4482546775;1;4
14956809;2;Giovanna Martins;4482546776;1;4
14956809;1;Bruno Carvalho;4482546777;1;4
13797709;2;Gabrielly Castro;4482546778;1;4
14963557;1;Evelyn Pereira;4482546779;1;4
14716120;2;Kaua Ferreira;4482546780;1;4
14879043;3;Kauê Alves;4482546781;1;4
14879043;1;Yasmin Goncalves;4482546782;1;4
15077407;1;Emily Souza;4482546783;1;4
15157332;1;Isabela Dias;4482546784;1;4
15189319;1;Lara Almeida;4482546785;1;4
14722003;3;Luana Pereira;4482546786;1;4
11589371;3;Danilo Almeida;4482546787;0;4
12652616;2;Arthur Souza;4482546788;1;4
14901995;2;Gustavo Barbosa;4482546789;1;4
12767695;3;Rafaela Silva;4482546790;1;4
14660971;1;Gabrielle Souza;4482546791;1;4
14812911;2;Nicole Barros;4482546792;1;4
15067598;1;Kauã Ferreira;4482546793;1;4
13699756;3;Murilo Cunha;4482546794;1;4
14273460;1;Ágatha Goncalves;4482546795;1;4
14834832;1;Manuela Barros;4482546796;1;4
14624563;4;Luis Lima;4482546797;1;4
13487541;2;Bruno Costa;4482546798;1;4
14878649;1;Ágatha Costa;4482546799;1;4
14878664;1;Erick Araujo;4482546800;1;4
14612352;2;Otávio Santos;4482546801;1;4
14612733;2;Laura Barbosa;4482546802;1;4
14612733;3;Gabriel Pereira;4482546803;1;4
13850102;4;Gabriela Lima;4482546804;1;4
15192230;1;Carlos Dias;4482546805;1;4
14934392;1;Kaua Ribeiro;4482546806;1;4
14909394;2;Joao Castro;4482546807;1;4
14580013;2;Kauã Dias;4482546808;1;4
14575690;2;Alice Fernandes;4482546809;1;4
11244415;2;Gabrielle Rocha;4482546810;1;4
14660948;4;Beatriz Correia;4482546811;1;4
14660948;2;Kauê Cardoso;4482546812;1;4
14962724;1;Isabelle Oliveira;4482546813;1;4
14932461;1;Kauã Ferreira;4482546814;1;4
14053490;2;Leonor Cardoso;4482546815;1;4
14666770;1;Giovana Oliveira;4482546816;1;4
14887319;1;Leonardo Correia;4482546817;1;4
14905053;3;Alice Fernandes;4482546818;1;4
15122393;1;Eduardo Azevedo;4482546819;1;4
14882070;1;Gabrielle Cavalcanti;4482546820;1;4
15070071;1;Bruno Pinto;4482546821;1;4
15117724;1;Júlio Correia;4482546822;1;4
14590244;2;Manuela Barbosa;4482546823;1;4
15226251;1;Yasmin Almeida;4482546824;1;4
13237151;2;Otávio Fernandes;4482546825;1;4
12969218;2;Kauã Ribeiro;4482546826;1;4
12946679;1;Bianca Rocha;4482546827;0;4
13794417;2;Tânia Gomes;4482546828;1;4
14425912;4;Vitor Rodrigues;4482546829;1;4
14934160;1;Luiz Souza;4482546830;1;4
15348998;1;Daniel Correia;4482546831;1;4
90019619;9;Kai Ribeiro;4482546832;0;4
14880652;1;Yasmin Ribeiro;4482546833;1;4
14934319;1;Paulo Cunha;4482546834;1;4
14801351;1;Tiago Lima;4482546835;1;4
14879068;3;Gabriel Almeida;4482546836;1;4
14879068;1;Eduardo Pinto;4482546837;1;4
14576813;2;Carolina Oliveira;4482546838;1;4
14884357;1;Ryan Oliveira;4482546839;1;4
13803291;3;Sophia Castro;4482546840;1;5
15086598;1;Tânia Fernandes;4482546841;1;5
14882153;1;Carolina Silva;4482546842;1;5
15119233;1;Arthur Cunha;4482546843;1;5
15074867;1;Isabelle Ribeiro;4482546844;1;5
14882856;4;Luan Oliveira;4482546845;1;5
12826921;1;Enzo Castro;4482546846;1;5
13310198;5;Evelyn Ribeiro;4482546847;1;5
13310198;3;Letícia Cavalcanti;4482546848;1;5
14540413;1;Carlos Goncalves;4482546849;1;5
14946925;1;Vitor Correia;4482546850;1;5
14156541;3;André Pinto;4482546851;1;5
14370829;2;Anna Santos;4482546852;1;5
14963573;1;Kauan Souza;4482546853;1;5
14911671;3;Antônio Cardoso;4482546854;1;5
12696589;3;Antônio Barbosa;4482546855;1;5
13800180;4;Luan Araujo;4482546856;1;5
13800180;3;Giovanna Gomes;4482546857;1;5
14540454;3;Matheus Martins;4482546858;1;5
14540454;2;Bruno Sousa;4482546859;1;5
14912836;3;Bianca Alves;4482546860;1;5
14649362;2;Aline Silva;4482546861;1;5
14963870;1;Vinícius Fernandes;4482546862;1;5
14539365;4;Otávio Lima;4482546863;1;5
14539365;2;Kauã Fernandes;4482546864;1;5
14722045;3;Evelyn Costa;4482546865;1;5
11433604;3;Brenda Pereira;4482546866;1;5
11251568;5;Estevan Castro;4482546867;1;5
14956668;1;Daniel Cavalcanti;4482546868;1;5
12125068;3;Fábio Souza;4482546869;1;5
15350796;1;Tânia Melo;4482546870;1;5
15289812;1;Pedro Pinto;4482546871;1;5
14939243;1;Beatriz Azevedo;4482546872;1;5
15070154;1;Carla Cavalcanti;4482546873;1;5
14478630;2;Pedro Dias;4482546874;1;5
14478630;1;Matilde Dias;4482546875;1;5
14900526;2;Murilo Lima;4482546876;1;5
14900526;3;Giovana Pereira;4482546877;1;5
10915221;3;Eduarda Souza;4482546878;1;6
11859006;3;Fernanda Pereira;4482546879;1;6
14625800;2;Leonor Pereira;4482546880;1;6
13843693;2;Murilo Fernandes;4482546881;1;6
14947220;1;Kauã Goncalves;4482546882;1;6
15071152;1;Rafael Cavalcanti;4482546883;1;6
13162524;5;Leonor Correia;4482546884;1;6
14612691;1;Gabriel Silva;4482546885;1;6
14893028;1;Bruna Rodrigues;4482546886;1;6
14625826;2;Davi Correia;4482546887;1;6
14666739;2;Miguel Santos;4482546888;1;6
15173297;1;Amanda Barbosa;4482546889;1;6
14883169;2;Otávio Melo;4482546890;1;6
14883169;1;Alice Rocha;4482546891;1;6
11217767;6;Julian Sousa;4482546892;1;6
11814480;4;Victor Melo;4482546893;1;6
15289457;1;Matilde Dias;4482546894;1;6
14762256;2;Kauê Rodrigues;4482546895;1;6
13891585;2;Martim Ribeiro;4482546896;1;6
15245327;1;Paulo Silva;4482546897;1;6
14755672;2;Sarah Dias;4482546898;1;6
15336811;1;Thiago Martins;4482546899;1;6
12760195;3;Rafael Barros;4482546900;1;6
15067168;1;Ryan Barbosa;4482546901;1;6
10840379;4;Lara Castro;4482546902;1;6
12087979;3;Nicole Oliveira;4482546903;1;6
15264138;1;Giovana Dias;4482546904;1;6
14412779;2;Brenda Martins;4482546905;1;6
13804695;3;Vitoria Carvalho;4482546906;1;6
15123631;1;Ryan Sousa;4482546907;1;6
14625743;1;Ryan Lima;4482546908;1;6
10906790;2;Bruno Almeida;4482546909;1;6
15200488;1;Luan Lima;4482546910;1;6
14963888;2;Júlia Araujo;4482546911;1;6
11863479;4;Pedro Santos;4482546912;1;6
14512693;2;José Gomes;4482546913;1;6
13613526;3;Douglas Alves;4482546914;1;6
15070097;1;Breno Cunha;4482546915;1;6
14939235;1;Matilde Costa;4482546916;1;6
14051767;1;Eduardo Almeida;4482546917;1;6
14041727;3;Manuela Santos;4482546918;1;6
10095115;2;Leila Castro;4482546919;1;6
14612915;1;Gustavo Pinto;4482546920;1;6
14934327;1;Isabela Lima;4482546921;1;6
14888341;1;Breno Lima;4482546922;1;6
15130842;1;Igor Castro;4482546923;1;6
14666309;3;Antônio Silva;4482546924;1;6
13800198;3;Nicole Barbosa;4482546925;1;6
14915078;1;Vitoria Goncalves;4482546926;1;6
10427177;5;Ana Barros;4482546927;1;6
12698429;4;Renan Santos;4482546928;1;6
3408614;3;Leonardo Souza;4482546929;1;6
10873131;5;Gustavo Cardoso;4482546930;1;6
13804901;2;Gustavo Lima;4482546931;1;6
10890051;5;Luana Ferreira;4482546932;1;6
10890051;4;Vitor Costa;4482546933;1;6
13764071;2;Diego Oliveira;4482546934;1;6
10897445;2;Cauã Melo;4482546935;1;6
10899771;5;Bruno Rocha;4482546936;1;6
10899771;4;Livia Sousa;4482546937;1;6
14540579;3;Julian Alves;4482546938;1;6
15275464;1;Evelyn Souza;4482546939;1;6
10917474;3;Vitór Lima;4482546940;1;6
10917474;2;Matheus Martins;4482546941;1;6
14823181;3;Beatriz Ribeiro;4482546942;1;6
14879241;1;Eduardo Martins;4482546943;1;6
14625693;1;Daniel Cavalcanti;4482546944;1;6
13953948;2;Lavinia Goncalves;4482546945;1;6
15030802;1;Leila Oliveira;4482546946;1;6
14649420;1;Matheus Ferreira;4482546947;1;6
14953814;1;Anna Alves;4482546948;1;6
15119365;2;Mariana Gomes;4482546949;1;6
15119365;1;Vitor Alves;4482546950;1;6
14937692;2;Guilherme Melo;4482546951;1;6
14937692;1;Gabriela Alves;4482546952;1;6
15286826;1;Beatrice Souza;4482546953;1;6
14774582;3;Emily Dias;4482546954;1;6
15125388;1;Lucas Cardoso;4482546955;1;6
15264799;1;Gabrielly Barbosa;4482546956;1;6
14666366;3;Vitor Barros;4482546957;1;6
13445317;2;Camila Costa;4482546958;1;6
14881320;1;Amanda Martins;4482546959;1;6
11081841;5;Rodrigo Araujo;4482546960;1;6
11272895;6;Luis Carvalho;4482546961;1;6
15067796;1;Julieta Cunha;4482546962;1;6
14937700;1;Julieta Silva;4482546963;1;6
15264245;1;Ana Cunha;4482546964;1;6
14915359;1;Rafael Goncalves;4482546965;1;6
14581045;2;Carlos Barros;4482546966;1;6
14612329;4;Vitória Castro;4482546967;1;6
14612329;3;Julieta Cunha;4482546968;1;6
11618691;4;Marisa Ferreira;4482546969;1;7
15127939;1;Bruno Lima;4482546970;1;7
13295761;2;Kauan Carvalho;4482546971;1;7
15233372;1;Luiza Santos;4482546972;1;7
15175672;1;Sarah Goncalves;4482546973;1;7
10892107;3;Carolina Correia;4482546974;1;7
14649396;2;Rafaela Pereira;4482546975;1;7
11048717;2;Giovana Azevedo;4482546976;1;7
14660690;2;Daniel Santos;4482546977;1;7
15122302;1;Guilherme Pinto;4482546978;1;7
14887756;1;Eduarda Azevedo;4482546979;1;7
14354963;3;Luís Ribeiro;4482546980;1;7
14569404;2;Luana Lima;4482546981;1;7
12081899;2;Gabrielle Fernandes;4482546982;1;7
14911234;2;Giovana Sousa;4482546983;1;7
14911234;3;Antônio Cunha;4482546984;1;7
14909071;3;Lavinia Barbosa;4482546985;1;7
14850101;1;Julian Goncalves;4482546986;1;7
15291354;1;Tiago Barros;4482546987;1;7
11589900;2;Davi Alves;4482546988;1;7
15349962;1;Giovanna Barros;4482546989;1;7
14909329;2;Gabriela Souza;4482546990;1;7
14929541;1;Enzo Lima;4482546991;1;7
14540652;1;Vitór Gomes;4482546992;1;7
14882815;3;Vitoria Fernandes;4482546993;1;7
14934061;1;Gabrielly Ferreira;4482546994;1;7
14678817;2;Livia Correia;4482546995;1;7
11837697;4;Victor Melo;4482546996;1;7
14624027;2;Murilo Pereira;4482546997;1;7
14624597;2;Luan Silva;4482546998;1;7
15102254;1;Isabella Gomes;4482546999;1;7
15085624;1;Davi Rodrigues;4482547000;1;7
14913438;1;Luís Lima;4482547001;1;7
14556369;1;Brenda Cavalcanti;4482547002;1;7
14905806;3;Luiza Lima;4482547003;1;7
15291248;1;Fernanda Oliveira;4482547004;1;7
13871348;4;Tânia Barbosa;4482547005;1;7
12428280;1;Raissa Cardoso;4482547006;0;7
14644090;1;Raissa Melo;4482547007;1;7
13655436;2;Enzo Silva;4482547008;1;7
14948913;1;Murilo Castro;4482547009;1;7
15018450;1;Leila Correia;4482547010;1;7
11250289;4;Rebeca Pereira;4482547011;1;7
14141147;5;Sarah Fernandes;4482547012;1;7
14755698;2;Vinicius Gomes;4482547013;1;7
15118789;1;Isabelle Ribeiro;4482547014;1;7
14884076;1;Pedro Lima;4482547015;1;7
14612840;2;Davi Almeida;4482547016;1;7
15285257;1;Sarah Costa;4482547017;1;7
15118482;1;Emilly Cavalcanti;4482547018;1;7
14896344;2;Vinícius Fernandes;4482547019;1;7
13441613;1;Julieta Goncalves;4482547020;1;7
15122856;1;Kai Dias;4482547021;1;7
14590442;1;Manuela Cardoso;4482547022;1;7
15198690;1;Ryan Pinto;4482547023;1;7
14963896;1;Sarah Martins;4482547024;1;7
12993267;3;Ryan Cavalcanti;4482547025;1;7
14413512;4;Vitória Rocha;4482547026;1;7
15089683;1;Emily Pinto;4482549003;1;8
14330724;2;Yasmin Costa;4482549004;1;8
14955538;1;Letícia Almeida;4482549005;1;8
14881809;3;Marina Rocha;4482549006;1;8
13759006;2;Emilly Cunha;4482549007;1;8
12174769;4;Vitória Martins;4482549008;1;8
14661383;3;Vitor Melo;4482549009;1;8
14889018;1;Danilo Castro;4482549010;1;8
14421432;2;Vinícius Araujo;4482549011;1;8
13819941;2;Rebeca Barros;4482549012;1;8
15074214;1;Rodrigo Castro;4482549013;1;8
12594974;1;Bruna Cardoso;4482549014;1;8
10728335;5;Tiago Martins;4482549015;1;8
14912893;2;Marina Gomes;4482549016;1;8
13102355;4;Lavinia Fernandes;4482549017;1;8
15072010;1;Eduardo Barros;4482549018;1;8
14662910;2;Bianca Ribeiro;4482549019;1;8
13805189;1;Beatriz Rocha;4482549020;1;8
14926893;1;Thiago Oliveira;4482549021;1;8
10860054;3;Estevan Sousa;4482549022;1;8
14569123;4;Felipe Santos;4482549023;1;8
14915326;2;Marina Ribeiro;4482549024;1;8
15329097;1;Davi Gomes;4482549025;1;8
15292279;1;Thiago Dias;4482549026;1;8
10900843;3;Carla Cardoso;4482549027;1;8
11996113;3;Estevan Fernandes;4482549028;1;8
15288491;1;Douglas Rocha;4482549029;1;8
14616270;2;Marcos Alves;4482549030;1;8
14963524;1;Rodrigo Azevedo;4482549031;1;8
14616205;2;Aline Costa;4482549032;1;8
15102270;1;Raissa Araujo;4482549033;1;8
14614853;1;Anna Barros;4482549034;1;8
14846794;2;Pedro Barbosa;4482549035;1;8
14927560;1;Guilherme Dias;4482549036;1;8
15069388;1;Marisa Carvalho;4482549037;1;8
14558514;2;Victor Castro;4482549038;1;8
12734588;3;Yasmin Correia;4482549039;1;8
15000029;1;Lucas Pereira;4482549040;1;8
14701718;1;Julian Lima;4482549041;1;8
14459697;1;Mariana Rodrigues;4482549042;1;8
14691588;2;Thiago Melo;4482549043;1;8
12714614;3;Breno Fernandes;4482549044;1;8
14247522;2;Gabrielly Souza;4482549045;1;8
15124886;1;Breno Ferreira;4482549046;1;8
14932420;1;Vinícius Gomes;4482549047;1;8
14615322;2;Felipe Castro;4482549048;1;8
14925432;1;Luan Carvalho;4482549049;1;8
14615264;4;Amanda Pinto;4482549050;1;8
15118540;1;Amanda Lima;4482549051;1;8
14834519;1;Luiza Santos;4482549052;1;8
14638985;2;Carlos Ferreira;4482549053;1;8
14834485;2;Júlio Araujo;4482549054;1;8
14723332;4;Rafael Ribeiro;4482549055;1;8
14012181;3;Luan Cavalcanti;4482549056;1;8
12719993;3;Nicole Rodrigues;4482549057;1;8
14668750;3;Enzo Ribeiro;4482549058;1;8
14841506;4;Julieta Barbosa;4482549059;1;8
13912449;3;Leonor Alves;4482549060;1;8
13865654;4;Leonardo Dias;4482549061;1;8
12955456;2;Carolina Pinto;4482549062;1;8
11745395;4;Camila Araujo;4482549063;1;8
14650527;1;Breno Santos;4482549064;1;8
15074222;1;Felipe Rodrigues;4482549065;1;8
14882047;1;Eduarda Gomes;4482549066;1;8
14874283;2;Leonor Cardoso;4482549067;1;8
13850276;3;Guilherme Santos;4482549068;1;8
15124746;1;Luiza Fernandes;4482549069;1;8
13913090;3;Ágatha Cunha;4482549070;1;8
14581524;1;Tânia Pinto;4482549071;1;8
15117476;1;Paulo Correia;4482549072;1;8
12230355;3;Guilherme Correia;4482549073;1;8
14761019;2;Carla Ribeiro;4482549074;1;8
15241524;1;Gabrielly Alves;4482549075;1;8
14939284;2;Bruno Oliveira;4482549076;1;8
14939284;1;Joao Goncalves;4482549077;1;8
14897623;2;Bianca Lima;4482549078;1;8
14912901;3;Bruna Sousa;4482549079;1;8
14912901;2;Eduardo Cavalcanti;4482549080;1;8
15014459;1;Gabrielle Almeida;4482549081;1;8
15071483;1;Mateus Cardoso;4482549082;1;8
12968145;2;Antônio Goncalves;4482549083;1;8
15115454;1;Gustavo Alves;4482549084;1;8
15174626;1;Nicolash Ribeiro;4482549085;1;8
13849815;2;Miguel Melo;4482549086;1;8
14925358;2;Fernanda Castro;4482549087;1;8
15076656;1;Erick Azevedo;4482549088;1;8
15000011;2;Miguel Oliveira;4482549089;1;8
15000011;1;Beatrice Castro;4482549090;1;8
12085635;2;Sofia Martins;4482549091;1;8
15123615;1;Igor Azevedo;4482549092;1;8
15122906;1;Igor Gomes;4482549093;1;8
14787725;2;Diego Martins;4482549094;1;8
14958938;3;Isabela Martins;4482549095;1;8
14958938;2;Rafael Alves;4482549096;1;8
15083488;1;Breno Rocha;4482549097;1;8
14668453;1;Larissa Melo;4482549098;1;8
14946842;2;Camila Azevedo;4482549099;1;8
14132849;2;Diego Azevedo;4482549100;1;8
12577813;2;Carla Pinto;4482549101;1;8
15067747;1;Erick Souza;4482549102;1;8
15092729;1;Larissa Pereira;4482549103;1;8
14963839;3;Kauê Almeida;4482549104;1;8
14963839;2;Bruna Gomes;4482549105;1;8
9294646;2;Giovanna Santos;4482549106;1;8
15196579;1;Tomás Carvalho;4482549107;1;8
14680052;2;Murilo Carvalho;4482549108;1;8
14580641;2;Júlia Santos;4482549109;1;8
15076904;1;Luan Sousa;4482549110;1;8
15095284;1;Alex Cavalcanti;4482549111;1;8
14481063;1;João Cavalcanti;4482549112;1;8
14580625;3;Julian Silva;4482549113;1;8
14899868;2;Lucas Barbosa;4482549114;1;8
15236888;1;Vitória Cunha;4482549115;1;8
14616593;4;Kauan Melo;4482549116;1;8
14356539;2;Miguel Fernandes;4482549117;1;8
14356539;1;Luís Alves;4482549118;1;8
14956288;3;Diogo Oliveira;4482549119;1;8
13802053;4;Brenda Ribeiro;4482549120;1;8
13802053;3;Ana Alves;4482549121;1;8
14896526;2;Mateus Sousa;4482549122;1;8
14928857;2;Nicolas Oliveira;4482549123;1;8
14638993;2;Thaís Fernandes;4482549124;1;8
15189939;1;Enzo Rodrigues;4482549125;1;8
14052666;2;Camila Silva;4482549126;1;8
13820063;3;Kauê Silva;4482549127;1;8
13820063;2;Rafaela Sousa;4482549128;1;8
14421648;3;Felipe Pinto;4482549129;1;8
14542419;1;Luiz Dias;4482549130;1;8
14930564;1;Rafaela Martins;4482549131;1;8
14340665;4;Isabela Dias;4482549132;1;8
90018039;0;Maria Melo;4482549133;0;8
12999777;5;Vitór Azevedo;4482549134;1;8
14800759;2;Vitór Castro;4482549135;1;8
15261068;1;Vinicius Correia;4482549136;1;8
15081649;1;Carolina Azevedo;4482549137;1;8
15158116;1;Bruno Pinto;4482549138;1;8
15067960;1;Guilherme Cavalcanti;4482549139;1;8
12050910;2;Luana Ribeiro;4482549140;1;8
14893952;2;Maria Martins;4482549141;1;8
15061120;1;Rebeca Silva;4482549142;1;8
14627574;3;Vitór Pinto;4482549143;1;8
14784771;1;Giovana Carvalho;4482549144;1;8
15287386;1;Luana Pinto;4482549145;1;8
11876042;6;Igor Fernandes;4482549146;1;8
14052518;9;Marina Cardoso;4482549147;0;8
14884050;1;Nicole Oliveira;4482549148;1;8
15161219;1;Thaís Almeida;4482549149;1;8
14581557;1;Felipe Pereira;4482549150;1;8
14481147;1;Larissa Souza;4482549151;1;8
13179940;2;Marisa Fernandes;4482549152;1;8
15198369;1;Júlia Lima;4482549153;1;8
14499560;3;Luiz Barbosa;4482549154;1;8
14569487;4;Igor Silva;4482549155;1;8
15276538;1;Kai Costa;4482549156;1;8
15276538;0;Amanda Cardoso;4482549157;0;8
12896890;3;Emilly Pinto;4482549158;1;8
10967602;2;Julieta Cunha;4482549159;1;8
15067010;1;João Azevedo;4482549160;1;8
14246581;4;Clara Fernandes;4482549161;1;8
14959712;1;Carolina Castro;4482549162;1;8
14934293;1;Felipe Correia;4482549163;1;8
14701734;2;Danilo Cavalcanti;4482549164;1;8
13189915;2;Manuela Araujo;4482549165;1;8
14983571;2;Eduardo Cardoso;4482549166;1;8
15123144;1;Julieta Ribeiro;4482549167;1;8
12514154;1;Vitór Sousa;4482549168;1;8
14879290;1;Martim Cardoso;4482549169;1;8
11804671;5;Emily Azevedo;4482549170;1;8
14925259;1;Joao Araujo;4482549171;1;8
10888857;5;Joao Correia;4482549172;1;8
14625255;3;Kai Souza;4482549173;1;8
10912566;3;Rafaela Souza;4482549174;1;8
14946446;1;Thaís Castro;4482549175;1;8
15275357;1;Júlia Souza;4482549176;1;8
15083447;1;Gabriela Goncalves;4482549177;1;8
13820139;3;Manuela Souza;4482549178;1;8
